Verfügb. Einkommen d. priv. Haushalte je Einwohner EUR,Jahr,Deutschland,Verfügb.Einkommen d.priv.Haushalte (Ausgabenkzpt) Mill. EUR,Bundesländer
"",2020,Deutschland,"",Baden-Württemberg
"",2020,Deutschland,"",Bayern
"",2020,Deutschland,"",Berlin
"",2020,Deutschland,"",Brandenburg
"",2020,Deutschland,"",Bremen
"",2020,Deutschland,"",Hamburg
"",2020,Deutschland,"",Hessen
"",2020,Deutschland,"",Mecklenburg-Vorpommern
"",2020,Deutschland,"",Niedersachsen
"",2020,Deutschland,"",Nordrhein-Westfalen
"",2020,Deutschland,"",Rheinland-Pfalz
