Jahr,Rechtsform,Unternehmen Anzahl,WZ2003 (2-4-Steller): Dienstleistungen
2007,Einzelunternehmen,46844,"Landverkehr, Transport in Rohrfernleitungen"
2007,Einzelunternehmen,40,Eisenbahnverkehr
2007,Einzelunternehmen,46793,Sonstiger Landverkehr
2007,Einzelunternehmen,1411,Personenbeförderung im Linienverkehr zu Land
2007,Einzelunternehmen,17054,Betrieb von Taxis und Mietwagen mit Fahrer
2007,Einzelunternehmen,1669,Sonstige Personenbeförderung im Landverkehr
2007,Einzelunternehmen,26659,Güterbeförderung im Straßenverkehr
2007,Einzelunternehmen,11,Transport in Rohrfernleitungen
2007,Einzelunternehmen,773,Schifffahrt
2007,Einzelunternehmen,86,See- und Küstenschifffahrt
2007,Einzelunternehmen,687,Binnenschifffahrt
