Bodenfläche qkm,Stichtag,Bundesländer,Nutzungsarten
"2787,770",31.12.2015,Baden-Württemberg,Gebäude- und Freifläche
"1507,570",31.12.2015,Baden-Württemberg,Gebäude- und Freifläche Wohnen
"486,420",31.12.2015,Baden-Württemberg,Gebäude- und Freifläche Gewerbe und Industrie
"112,000",31.12.2015,Baden-Württemberg,Betriebsfläche
"67,970",31.12.2015,Baden-Württemberg,Betriebsfläche Abbauland
"314,740",31.12.2015,Baden-Württemberg,Erholungsfläche
"162,660",31.12.2015,Baden-Württemberg,Grünanlage
"1975,420",31.12.2015,Baden-Württemberg,Verkehrsfläche
"1835,120",31.12.2015,Baden-Württemberg,"Straße, Weg, Platz"
"16234,980",31.12.2015,Baden-Württemberg,Landwirtschaftsfläche
"20,070",31.12.2015,Baden-Württemberg,Moor
