Nichtärztliches Personal Anzahl,Stichtag,Hauptamtliche Aerzte Anzahl,Nichtärztliches Personal im Pflegedienst Anzahl,Personal Anzahl
913376,31.12.1991,109072,389511,1119791
926181,31.12.1992,111115,399915,1133050
928858,31.12.1993,111608,405848,1134690
936904,31.12.1994,114208,417272,1146779
948013,31.12.1995,116346,429183,1161863
935071,31.12.1996,117922,427271,1150857
918078,31.12.1997,118522,420306,1133409
911216,31.12.1998,119831,419284,1124881
903155,31.12.1999,120608,415865,1114178
897401,31.12.2000,122062,414478,1108646
899420,31.12.2001,123819,416319,1109420
